"#","Last Change Type","Chg Info","","Zip Code","Stat","Address","Unit Number","Current Price","BldgDes","Sub","Approx Liv Area","Beds Total","Baths Total","Garage","Pv Pool","Spa","Year Built","Actual Close Date","DOM"
"1","New Listing","NEW","2765707","89029","A-ER","2269 Chandler Ranch PL","","$270,900","1STORY","TWH","1,202","3","2","2","N","N","2017","","0"
"1","New Listing","NEW","2765688","89012","A-ER","14 Sanctuary Peak CT","","$5,499,000","2STORY","SFR","5,335","5","6","6","Y","Y","2023","","0"
"1","New Listing","NEW","2762146","89129","A-ER","10550 West Alexander RD #2046","2046","$295,000","2STORY","CON","1,109","2","1","1","N","N","2003","","0"
"1","New Listing","NEW","2765641","89029","A-ER","3280 Del Monte ST","","$245,000","1STORY","MAN","1,056","2","2","0","N","N","1986","","1"
"1","New Listing","NEW","2764907","89130","A-ER","6106 Castle Gardens AVE","","$519,999","2STORY","SFR","2,718","5","4","2","N","N","2021","","0"
"1","New Listing","NEW","2765076","89106","A-ER","2712 Tortoise Cactus CT","","$339,500","1STORY","SFR","1,385","3","2","2","N","N","2004","","0"
"1","New Listing","NEW","2765086","89044","A-ER","2088 Sawtooth Mountain DR","","$560,000","1STORY","SFR","1,712","2","2","2","N","N","2005","","0"
"1","New Listing","NEW","2764262","89120","A-ER","3051 Key Largo DR #203","203","$219,000","2STORY","CON","987","2","2","0","N","N","1996","","1"
"1","New Listing","NEW","2765492","89122","A-ER","3640 Tack ST","","$399,900","1STORY","SFR","1,718","3","2","2","N","N","2007","","0"
"1","New Listing","NEW","2765510","89117","A-ER","3001 Bridge Creek ST","","$725,000","1STORY","SFR","2,020","3","2","3","Y","Y","1989","","0"
"1","New Listing","NEW","2765481","89110","A-ER","1259 North Hollywood BLVD","","$850,000","1STORY","SFR","2,956","5","4","2","Y","Y","2000","","1"
"1","New Listing","NEW","2761303","89029","A-ER","3599 Cottage Canyon ST","","$435,000","1STORY","SFR","1,952","3","2","3","N","N","2003","","0"
"1","New Listing","NEW","2764658","89084","A-ER","6440 Bristlebird ST","","$639,900","2STORY","SFR","2,969","5","4","2","Y","Y","2005","","0"
"1","New Listing","NEW","2765691","89139","A-ER","6014 Belvedere Canyon AVE","","$519,000","3STORY","SFR","2,644","4","4","2","N","N","2013","","0"
